name,canonical
ISO-IR-57,GB_1988-80
ISO-IR-58,GB_2312-80
ISO-IR-6,US-ASCII
ISO-IR-87,JIS_X0208
ISO646-CN,GB_1988-80
ISO646-JP,JIS_C6220-1969-RO
ISO646-US,US-ASCII
ISO8859-1,ISO-8859-1
ISO8859-10,ISO-8859-10
ISO8859-11,ISO-8859-11
ISO8859-13,ISO-8859-13
ISO8859-14,ISO-8859-14
ISO8859-15,ISO-8859-15
ISO8859-16,ISO-8859-16
ISO8859-2,ISO-8859-2
ISO8859-3,ISO-8859-3
ISO8859-4,ISO-8859-4
ISO8859-5,ISO-8859-5
ISO8859-6,ISO-8859-6
ISO8859-7,ISO-8859-7
ISO8859-8,ISO-8859-8
ISO8859-9,ISO-8859-9
ISO88591,ISO-8859-1
ISO885915,ISO-8859-15
ISO88592,ISO-8859-2
ISO88595,ISO-8859-5
ISO88596,ISO-8859-6
ISO88597,ISO-8859-7
ISO88598,ISO-8859-8
ISO88599,ISO-8859-9
ISO_646.IRV:1991,US-ASCII
ISO_8859-1,ISO-8859-1
ISO_8859-10,ISO-8859-10
ISO_8859-10:1992,ISO-8859-10
ISO_8859-11,ISO-8859-11
ISO_8859-13,ISO-8859-13
ISO_8859-14,ISO-8859-14
ISO_8859-14:1998,ISO-8859-14
ISO_8859-15,ISO-8859-15
ISO_8859-15:1998,ISO-8859-15
ISO_8859-16,ISO-8859-16
ISO_8859-16:2001,ISO-8859-16
ISO_8859-1:1987,ISO-8859-1
ISO_8859-2,ISO-8859-2
ISO_8859-2:1987,ISO-8859-2
ISO_8859-3,ISO-8859-3
ISO_8859-3:1988,ISO-8859-3
ISO_8859-4,ISO-8859-4
ISO_8859-4:1988,ISO-8859-4
ISO_8859-5,ISO-8859-5
ISO_8859-5:1988,ISO-8859-5
ISO_8859-6,ISO-8859-6
ISO_8859-6:1987,ISO-8859-6
ISO_8859-7,ISO-8859-7
ISO_8859-7:1987,ISO-8859-7
ISO_8859-7:2003,ISO-8859-7
ISO_8859-8,ISO-8859-8
ISO_8859-8:1988,ISO-8859-8
ISO_8859-9,ISO-8859-9
ISO_8859-9:1989,ISO-8859-9
JAVA,JAVA
JIS0208,JIS_X0208
JISX0201-1976,JIS_X0201
JIS_C6220-1969-RO,JIS_C6220-1969-RO
JIS_C6226-1983,JIS_X0208
JIS_ENCODING,ISO-2022-JP-1
JIS_X0201,JIS_X0201
JIS_X0208,JIS_X0208
JIS_X0208-1983,JIS_X0208
JIS_X0208-1990,JIS_X0208
JIS_X0212,JIS_X0212
JIS_X0212-1990,JIS_X0212
JIS_X0212.1990-0,JIS_X0212
JOHAB,JOHAB
JP,JIS_C6220-1969-RO
KOI8-R,KOI8-R
KOI8-RU,KOI8-RU
KOI8-T,KOI8-T
KOI8-U,KOI8-U
KOREAN,KSC_5601
KO_KR.JOHAP92,JOHAB
KSC5601,CP949
KSC_5601,KSC_5601
KS_C_5601-1987,KSC_5601
KS_C_5601-1989,KSC_5601
KZ-1048,RK1048
L1,ISO-8859-1
L10,ISO-8859-16
L2,ISO-8859-2
L3,ISO-8859-3
L4,ISO-8859-4
L5,ISO-8859-9
L6,ISO-8859-10
L7,ISO-8859-13
L8,ISO-8859-14
LATIN-9,ISO-8859-15
LATIN1,ISO-8859-1
LATIN10,ISO-8859-16
LATIN2,ISO-8859-2
LATIN3,ISO-8859-3
LATIN4,ISO-8859-4
LATIN5,ISO-8859-9
LATIN6,ISO-8859-10
LATIN7,ISO-8859-13
LATIN8,ISO-8859-14
MAC,MacRoman
MACARABIC,MacArabic
MACCENTRALEUROPE,MacCentralEurope
MACCROATIAN,MacCroatian
MACCYRILLIC,MacCyrillic
MACGREEK,MacGreek
MACHEBREW,MacHebrew
MACICELAND,MacIceland
MACINTOSH,MacRoman
MACROMAN,MacRoman
MACROMANIA,MacRomania
MACTHAI,MacThai
MACTURKISH,MacTurkish
MACUKRAINE,MacUkraine
MS-ANSI,CP1252
MS-ARAB,CP1256
MS-CYRL,CP1251
MS-EE,CP1250
MS-GREEK,CP1253
MS-HEBR,CP1255
MS-TURK,CP1254
MS936,CP936
MS_KANJI,SHIFT_JIS
MULELAO-1,MULELAO-1
NEXTSTEP,NEXTSTEP
PCK,SHIFT_JIS
PT154,PT154
PTCP154,PT154
R8,HP-ROMAN8
RK1048,RK1048
ROMAN8,HP-ROMAN8
SDECKANJI,EUC-JP
SHIFT-JIS,SHIFT_JIS
SHIFT_JIS,SHIFT_JIS
SJIS,SHIFT_JIS
STRK1048-2002,RK1048
TACTIS,TIS-620
TCVN,TCVN
TCVN-5712,TCVN
TCVN5712-1,TCVN
TCVN5712-1:1993,TCVN
TIS-620,TIS-620
TIS620,TIS-620
TIS620-0,TIS-620
TIS620.2529-1,TIS-620
TIS620.2533,TIS-620
TIS620.2533-0,TIS-620
TIS620.2533-1,TIS-620
UCS-2,UCS-2
UCS-2-INTERNAL,UCS-2-INTERNAL
UCS-2-SWAPPED,UCS-2-SWAPPED
UCS-2BE,UCS-2BE
UCS-2LE,UCS-2LE
UCS-4,UCS-4
UCS-4-INTERNAL,UCS-4-INTERNAL
UCS-4-SWAPPED,UCS-4-SWAPPED
UCS-4BE,UCS-4BE
UCS-4LE,UCS-4LE
UHC,CP949
UNICODE-1-1,UCS-2BE
UNICODE-1-1-UTF-7,UTF-7
UNICODEBIG,UCS-2BE
UNICODEFFFE,UTF-16BE
UNICODELITTLE,UCS-2LE
US,US-ASCII
US-ASCII,US-ASCII
UTF-16,UTF-16
UTF-16BE,UTF-16BE
UTF-16LE,UTF-16LE
UTF-32,UTF-32
UTF-32BE,UTF-32BE
UTF-32LE,UTF-32LE
UTF-7,UTF-7
UTF-8,UTF-8
UTF8,UTF-8
VISCII,VISCII
VISCII1.1-1,VISCII
WINBALTRIM,CP1257
WINDOWS-1201,UTF-16BE
WINDOWS-1250,CP1250
WINDOWS-1251,CP1251
WINDOWS-1252,CP1252
WINDOWS-1253,CP1253
WINDOWS-1254,CP1254
WINDOWS-1255,CP1255
WINDOWS-1256,CP1256
WINDOWS-1257,CP1257
WINDOWS-1258,CP1258
WINDOWS-874,CP874
WINDOWS-936,CP936
X0201,JIS_X0201
X0208,JIS_X0208
X0212,JIS_X0212
